id,question,category,answer_format,n_matches,entity_match,column_mappings,phrase_matches,n_matches_predict
18,How many people live within 100 meters from the closest church in 1808?,spatial,a single number,1,0,"[('people', 'owner_first_name', 2), ('people', 'tenant_name', 2), ('church', 'landmark_type', 3), ('live', 'building_functions', 2), ('within 100 meters from the closest church', 'longitude', 2), ('within 100 meters from the closest church', 'latitude', 2)]","[{'people': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_first_name', 'matches': ['ottavio', 'giudo', 'redenti', 'amadio', 'gioavnni', 'vita']}}, {'church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}, {'live': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['casa']}}]",3
19,"On average, how much more expensive are houses near the squares within 100 meters compared to those further away in 1740?",spatial,a single number,2,1,"[('houses', 'building_functions', 1), ('squares', 'landmark_type', 3), ('longitude', 'longitude', 1), ('latitude', 'latitude', 1), ('building_functions_count', 'building_functions_count', 1)]","[{'houses': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa', 'casa, orto', 'appartamento, casa', 'casa, scala']}}, {'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",2
20,"On average, how much more expensive are workshops near the squares within 100 meters compared to those further away in 1740?",spatial,a single number,2,1,"[('workshops', 'building_functions', 1), ('squares', 'landmark_type', 3), ('longitude', 'longitude', 1), ('latitude', 'latitude', 1), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2), ('rent_price', 'rent_price', 1), ('building_area', 'building_area', 2), ('more expensive', 'rent_price', 1)]","[{'workshops': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['magazzeno, orto']}}, {'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",2
21,"On average, how much more expensive are schools near the squares within 100 meters compared to those further away in 1740?",spatial,a single number,2,1,"[('schools', 'building_functions', '1'), ('squares', 'landmark_name', '3')]","[{'schools': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['scuola']}}]",1
22,"On average, how much bigger are houses near the squares within 100 meters compared to those further away in 1808?",spatial,a single number,2,1,"[('houses', 'building_functions', '1'), ('houses', 'building_functions', '2'), ('squares', 'landmark_type', '3'), ('longitude', 'longitude', '1'), ('latitude', 'latitude', '1'), ('longitude', 'longitude', '2'), ('latitude', 'latitude', '2')]","[{'houses': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa', 'casa, orto', 'appartamento, casa', 'casa, scala']}}, {'houses': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['casa', 'casa, loggia', 'casa, tintoria', 'bottega, casa, locanda', 'appartamento, casa', 'casa, luogo', 'casa, orto']}}, {'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",3
23,"On average, how much bigger are workshops near the squares within 100 meters compared to those further away in 1808?",spatial,a single number,2,1,"[('workshops', 'building_functions', 1), ('squares', 'landmark_type', 3), ('within 100 meters', 'longitude', 1), ('within 100 meters', 'latitude', 1), ('those further away', 'longitude', 1), ('those further away', 'latitude', 1), ('workshops', 'building_functions', 2), ('within 100 meters', 'longitude', 2), ('within 100 meters', 'latitude', 2), ('those further away', 'longitude', 2), ('those further away', 'latitude', 2)]","[{'workshops': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['magazzeno, orto']}}, {'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}, {'workshops': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['cantiere', 'magazzeno, raffinaria']}}]",3
24,"On average, how much bigger are schools near the squares within 100 meters compared to those further away in 1808?",spatial,a single number,2,1,"[('schools', 'building_functions', 2), ('squares', 'landmark_name', 3), ('100 meters', 'longitude', 2), ('100 meters', 'latitude', 2)]","[{'schools': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['magazzeno, scuola']}}]",1
25,"On average, how much more expensive are houses near the churches within 100 meters compared to those further away in 1740?",spatial,a single number,2,1,"[('houses', 'building_functions', 1), ('churches', 'landmark_type', 3), ('100 meters', 'longitude', 1), ('100 meters', 'latitude', 1)]","[{'houses': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa', 'casa, orto', 'appartamento, casa', 'casa, scala']}}, {'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}]",2
26,"On average, how much more expensive are workshops near the churches within 100 meters compared to those further away in 1740?",spatial,a single number,2,1,"[('workshops', 'building_functions', 1), ('workshops', 'building_functions', 2), ('churches', 'landmark_type', 3), ('100 meters', 'longitude', 1), ('100 meters', 'latitude', 1), ('near', 'longitude', 1), ('near', 'latitude', 1), ('those further away', 'longitude', 1), ('those further away', 'latitude', 1), ('in 1740', 'dataset', 1), ('in 1808', 'dataset', 2)]","[{'workshops': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['magazzeno, orto']}}, {'workshops': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['cantiere', 'magazzeno, raffinaria']}}, {'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}]",3
27,"On average, how much more expensive are schools near the churches within 100 meters compared to those further away in 1740?",spatial,a single number,2,1,"[('schools', 'building_functions', 1), ('churches', 'landmark_name', 3), ('100 meters', 'longitude', 1), ('100 meters', 'latitude', 1), ('100 meters', 'longitude', 2), ('100 meters', 'latitude', 2), ('100 meters', 'longitude', 3), ('100 meters', 'latitude', 3)]","[{'schools': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['scuola']}}, {'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'campo drio la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}]",2
28,"On average, how much bigger are houses near the churches within 100 meters compared to those further away in 1808?",spatial,a single number,2,1,"[('houses', 'building_functions', '1'), ('houses', 'building_functions', '2'), ('churches', 'landmark_type', '3'), ('100 meters', 'building_area', '2')]","[{'houses': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa', 'casa, orto', 'appartamento, casa', 'casa, scala']}}, {'houses': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['casa', 'casa, loggia', 'casa, tintoria', 'bottega, casa, locanda', 'appartamento, casa', 'casa, luogo', 'casa, orto']}}, {'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}, {'100 meters': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area', 'matches': ['100.68', '100.139', '100.149', '100.003', '100.144']}}]",4
29,"On average, how much bigger are workshops near the churches within 100 meters compared to those further away in 1808?",spatial,a single number,2,1,"[('workshops', 'building_functions', '2'), ('churches', 'landmark_type', '3'), ('100 meters', 'longitude', '2'), ('100 meters', 'latitude', '2')]","[{'workshops': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['cantiere', 'magazzeno, raffinaria']}}, {'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}]",2
30,"On average, how much bigger are schools near the churches within 100 meters compared to those further away in 1808?",spatial,a single number,2,1,"[('schools', 'building_functions', 1), ('churches', 'landmark_name', 3), ('100 meters', 'building_area', 2)]","[{'schools': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['scuola']}}, {'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'campo drio la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}, {'100 meters': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area', 'matches': ['100.68', '100.139', '100.149', '100.003', '100.144']}}]",3
31,How many buildings are located around the square of San Marco within 100 meters in 1740?,spatial,a single number,1,1,"[('square of San Marco', 'landmark_name', 3), ('100 meters', 'longitude', 1), ('100 meters', 'latitude', 1), ('100 meters', 'longitude', 2), ('100 meters', 'latitude', 2)]","[{'square of san marco': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}]",1
32,How many buildings are located around the church of Saint Paul within 100 meters in 1740?,spatial,a single number,1,1,"[('church of Saint Paul', 'landmark_name', 3), ('buildings', 'building_functions', 1), ('buildings', 'building_functions', 2)]","[{'church of saint paul': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['chiesa di saint george']}}, {'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa, portico', 'calle']}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico']}}]",3
33,How many houses are located around the church of Saint Paul within 100 meters in 1740?,spatial,a single number,2,1,"[('houses', 'building_functions', '1'), ('church', 'landmark_type', '3'), ('Saint Paul', 'landmark_name', '3'), ('longitude', 'longitude', '1'), ('latitude', 'latitude', '1'), ('longitude', 'longitude', '2'), ('latitude', 'latitude', '2')]","[{'houses': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa', 'casa, orto', 'appartamento, casa', 'casa, scala']}}, {'church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}, {'saint paul': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': [""sant' aponal""]}}]",3
34,How many buildings are located around the square of San Marco within 100 meters in 1808?,spatial,a single number,1,1,"[('square of San Marco', 'landmark_name', 3), ('buildings', 'building_functions', 1), ('buildings', 'building_functions', 2)]","[{'square of san marco': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}, {'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa, portico', 'calle']}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico']}}]",3
35,How many buildings are located around the church of Saint Paul within 100 meters in 1808?,spatial,a single number,1,1,"[('church of Saint Paul', 'landmark_name', 3), ('buildings', 'building_functions', 1), ('buildings', 'building_functions', 2)]","[{'church of saint paul': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['chiesa di saint george']}}, {'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa, portico', 'calle']}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico']}}]",3
36,How many houses are located around the square of San Marco within 100 meters in 1808?,spatial,a single number,2,1,"[('houses', 'building_functions', 2), ('San Marco', 'landmark_name', 3)]","[{'houses': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['casa', 'casa, loggia', 'casa, tintoria', 'bottega, casa, locanda', 'appartamento, casa', 'casa, luogo', 'casa, orto']}}, {'san marco': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}]",2
37,Are the buildings located within 100 meters from San Marco more expensive than the buildings located within 100 meters from other squares in 1740?,spatial,yes or no,2,1,"[('buildings', 'building_functions', 1), ('buildings', 'building_functions', 2), ('located within 100 meters from San Marco', 'longitude', 1), ('located within 100 meters from San Marco', 'latitude', 1), ('San Marco', 'landmark_name', 3)]","[{'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa, portico', 'calle']}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico']}}, {'san marco': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}]",3
38,Are the buildings located within 100 meters from San Marco bigger than the buildings located within 100 meters from other squares in 1808?,spatial,yes or no,2,1,"[('buildings', 'building_functions', 1), ('buildings', 'building_functions', 2), ('San Marco', 'landmark_name', 3), ('bigger', 'building_area', 2)]","[{'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa, portico', 'calle']}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico']}}, {'san marco': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}]",3
39,On average how far do people live from the squares in 1740?,spatial,a single number,1,0,"[('from the squares', 'longitude', '3'), ('from the squares', 'latitude', '3')]",[],0
40,On average how far do people live from the squares in 1808?,spatial,a single number,1,0,"[('squares', 'landmark_type', 3), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2)]","[{'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",1
41,Which neighborhood has the highest density of different families in 1740?,spatial,a single entity name,0,0,"[('neighborhood', 'parish', 1), ('different families', 'owner_family_name', 1)]","[{'neighborhood': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['ghetto vecchio']}}, {'different families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['domestici']}}]",2
42,Which neighborhood has the highest density of different families in 1808?,spatial,a single entity name,0,0,"[('neighborhood', 'parish', 1), ('neighborhood', 'district', 2), ('density of different families', 'owner_family_name', 2)]","[{'neighborhood': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['ghetto vecchio']}}]",1
43,How many churches does each parish have on average in 1740?,spatial,a single number,1,0,"[('churches', 'building_functions', 1), ('churches', 'building_functions', 2), ('churches', 'landmark_type', 3), ('parish', 'parish', 1), ('parish', 'district', 2), ('average', 'building_functions_count', 1), ('average', 'building_area', 2)]","[{'churches': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['chiesa']}}, {'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}, {'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}, {'average': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area', 'matches': ['180.7']}}]",4
44,How many churches does each district have on average in 1808?,spatial,a single number,1,0,"[('churches', 'landmark_type', 3), ('district', 'district', 2)]","[{'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}]",1
45,Is there a significant difference in the rent prices for buildings within 100 meters from the closest churches versus from squares in 1740?,spatial,yes or no,2,0,"[('churches', 'landmark_type', 3), ('squares', 'landmark_type', 3), ('buildings', 'building_functions', 1)]","[{'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}, {'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}, {'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa, portico', 'calle']}}]",3
46,Is there a significant difference in the area of buildings within 100 meters from the closest churches versus from squares in 1808?,spatial,yes or no,2,0,"[('churches', 'landmark_type', 3), ('squares', 'landmark_type', 3), ('buildings', 'building_area', 2)]","[{'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}, {'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",2
47,Which neighborhood contains the buildings with the highest rent price on average in 1740?,spatial,a single entity name,0,0,"[('neighborhood', 'parish', 1), ('buildings', 'building_functions', 1), ('highest rent price on average', 'rent_price', 1)]","[{'neighborhood': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['ghetto vecchio']}}, {'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa, portico', 'calle']}}]",2
48,Which neighborhood contains the buildings with the largest area on average in 1808?,spatial,a single entity name,0,0,"[('neighborhood', 'parish', 1), ('neighborhood', 'district', 2), ('buildings', 'building_functions', 1), ('buildings', 'building_functions', 2), ('largest area', 'building_area', 2)]","[{'neighborhood': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['ghetto vecchio']}}, {'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa, portico', 'calle']}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico']}}]",3
49,What is the name of the square that is the most densely populated with people within 100 meters in 1740?,spatial,a single entity name,1,0,"[('square', 'landmark_type', 3), ('people', 'owner_first_name', 1), ('people', 'tenant_name', 1), ('within 100 meters', 'longitude', 1), ('within 100 meters', 'latitude', 1)]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}, {'people': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name', 'matches': ['ottavio', 'ludovico', 'ottavia', 'vita']}}, {'people': {'dataset': 'data/buildings_1740.csv', 'column': 'tenant_name', 'matches': ['domenico persone', 'iseppo persone']}}]",3
50,What is the name of the square that is the most densely populated with people within 100 meters in 1808?,spatial,a single entity name,1,0,"[('square', 'landmark_type', '3'), ('building_functions', 'building_functions', '2'), ('longitude', 'longitude', '2'), ('latitude', 'latitude', '2')]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",1
51,How many buildings are there per parish on average in 1740?,spatial,a single number,0,0,"[('parish', 'parish', '1')]","[{'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}]",1
52,How many buildings are there per district on average in 1808?,spatial,a single number,0,0,"[('buildings', 'building_area', 2), ('district', 'district', 2), ('1808', 'building_area', 2)]","[{'1808': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area', 'matches': ['118.084', '118.081', '189.608', '18.083', '148.408', '180.138', '128.508', '183.708', '108.038', '141.808', '180.338', '186.08', '150.808', '178.088', '180.869', '180.831', '218.082', '180.801', '180.847', '128.408', '168.028', '180.698', '128.028', '182.078', '10.808', '180.839']}}]",1
53,What is the parish with the highest rent price in 1740?,spatial,a single entity name,0,0,"[('parish', 'parish', '1'), ('highest rent price', 'rent_price', '1')]","[{'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}]",1
54,What is the district with the largest buildings in 1808?,spatial,a single entity name,0,0,"[('district', 'district', 2)]",[],0
55,"Among all the parishes, what is the highest density of buildings with multiple functions in 1740?",spatial,a single number,0,0,"[('parishes', 'parish', 1), ('buildings with multiple functions', 'building_functions_count', 1)]","[{'parishes': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa giustina']}}]",1
56,"Among all the districts, what is the highest density of buildings with multiple functions in 1808?",spatial,a single number,0,0,"[('districts', 'district', 2), ('buildings', 'building_functions_count', 2), ('multiple functions', 'building_functions_count', 2)]",[],0
57,What is the average rent price difference between the parishes with the highest and the lowest rent prices in 1740?,spatial,a single number,0,0,"[('parishes', 'parish', '1'), ('rent prices', 'rent_price', '1')]","[{'parishes': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa giustina']}}]",1
58,What is the average size difference between the districts with the largest and the smalles buildings in 1808?,spatial,a single number,0,0,"[('districts', 'district', 2), ('buildings', 'building_functions', 2), ('buildings', 'building_area', 2), ('largest', 'building_area', 2), ('smallest', 'building_area', 2)]","[{'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico']}}]",1
59,Are there any parishes with more than 5 buildings owned by a single family in 1740?,spatial,yes or no,0,0,"[('parishes', 'parish', 1), ('buildings', None, 1), ('owned by a single family', 'owner_first_name', 1), ('owned by a single family', 'owner_family_name', 1), ('owned by a single family', 'owner_first_name', 2), ('owned by a single family', 'owner_family_name', 2)]","[{'parishes': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa giustina']}}, {'owned by a single family': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_first_name', 'matches': ['famiglia']}}]",2
60,Are there any districts with more than 5 buildings owned by a single family in 1808?,spatial,yes or no,0,0,[],[],0
61,What is the most common function of buildings that are within 100 meters from the closest square in 1740?,function,a single entity name,1,0,"[('function', 'building_functions', 1), ('square', 'landmark_name', 3)]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}]",1
62,What is the most common function of buildings that are within 100 meters from the closest square in 1808?,function,a single entity name,1,0,"[('function', 'building_functions', '2'), ('square', 'landmark_name', '3'), ('landmark_type', 'landmark_type', '3')]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}]",1
63,Which square is surrounded with the buildings with the most diverse functions within the radius of 100 meters in 1740?,function,a single entity name,1,0,"[('square', 'landmark_type', 3), ('diverse functions', 'building_functions', 1), ('within the radius of 100 meters', 'longitude', 2), ('within the radius of 100 meters', 'latitude', 2)]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",1
64,Which square is surrounded with the buildings with the most diverse functions within the radius of 100 meters in 1808?,function,a single entity name,1,0,"[('square', 'landmark_type', '3'), ('longitude', 'longitude', '2'), ('latitude', 'latitude', '2'), ('building_functions', 'building_functions', '2')]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",1
