question,category,answer_format,n_matches,column_mappings,in_columns,phrase_matches,references,n_matches_predict
What is the average rent price difference between the parishes with the highest and the lowest rent prices in 1740?,spatial,a single number,0,"[('average rent price', 'rent_price', 1), ('parishes', 'parish', 1), ('highest', None, None), ('lowest', None, None)]","[False, False, True, True]",[],"[{'average rent price': {'dataset': 'data/buildings_1740.csv', 'column': 'rent_price'}}, {'parishes': {'dataset': 'data/buildings_1740.csv', 'column': 'parish'}}]",0
What is the average size difference between the districts with the largest and the smalles buildings in 1808?,spatial,a single number,0,"[('average size difference', 'building_area', 2), ('the districts with the largest and the smallest buildings', 'district', 2)]","[True, True]",[],[],0
What is the most common function of buildings that are within 100 meters from a square in 1740?,function,a single entity name,1,"[('most common function', 'building_functions', 1), ('within 100 meters from a square', 'location', 3), ('square', 'landmark_name', 3)]","[False, False, True]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}]","[{'most common function': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}]",1
What is the most common function of buildings that are within 100 meters from a square in 1808?,function,a single entity name,1,"[('most common function', 'building_functions', 2), ('within 100 meters from a square', 'location', 2), ('square', 'Landmark_Type', 3)]","[False, True, True]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]","[{'most common function': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}]",1
Which square is surrounded with the buildings with the most diverse functions within the radius of 100 meters in 1740?,function,a single entity name,1,"[('square', 'landmark_name', 3), ('buildings', 'building_functions', 1), ('radius of 100 meters', None, None)]","[True, False, True]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}]","[{'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}]",1
Which square is surrounded with the buildings with the most diverse functions within the radius of 100 meters in 1808?,function,a single entity name,1,"[('square', 'landmark_name', 3), ('buildings', 'building_functions', 2), ('radius', 'location', 2)]","[True, True, False]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico']}}]","[{'radius': {'dataset': 'data/buildings_1808.csv', 'column': 'location'}}]",2
Are residential buildings more closely located to the squares than commercial buildings in 1740?,function,"yes or ""no""",2,"[('residential', 'building_functions', 1), ('squares', 'landmark_name', 3)]","[True, True]","[{'residential': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['appartamento', 'appartamento, casa']}}]",[],1
Are residential buildings more closely located to the squares than commercial buildings in 1808?,function,"yes or ""no""",2,"[('residential buildings', 'building_functions', 2), ('squares', 'landmark_name', 3), ('commercial buildings', 'building_functions', 2)]","[True, True, True]","[{'residential buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['casa, corto, portico', 'appartamento, casa, volta', 'appartamento, casa', 'area, casa']}}, {'commercial buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico', 'fabbrica, locale']}}]",[],2
What is the average distance between workshops and their nearest square in 1740?,function,a single number,2,"[('workshops', 'building_functions', 1), ('square', 'landmark_name', 3)]","[True, True]","[{'workshops': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['magazzeno, orto']}}, {'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}]",[],2
What is the average distance between workshops and their nearest square in 1808?,function,a single number,2,"[('workshops', 'building_functions', 1), ('square', 'landmark_name', 3), ('distance', None, None)]","[True, True, True]","[{'workshops': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['magazzeno, orto']}}, {'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}]",[],2
"On average, are buildings with multiple functions more expensive than the ones with a single function in 1740?",function,"yes or ""no""",0,"[('buildings', 'building_functions_count', 1), ('multiple functions', 'building_functions', 1), ('single function', 'building_functions', 1), ('more expensive', 'rent_price', 1)]","[False, True, True, False]",[],"[{'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}, {'more expensive': {'dataset': 'data/buildings_1740.csv', 'column': 'rent_price'}}]",0
"On average, are buildings with multiple functions larger than the ones with a single function in 1808?",function,"yes or ""no""",0,"[('buildings', 'building_functions_count', 1), ('buildings', 'building_functions_count', 2), ('multiple functions', 'building_functions', 1), ('multiple functions', 'building_functions', 2), ('single function', 'building_functions', 1), ('single function', 'building_functions', 2)]","[False, False, True, False, False, False]",[],"[{'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions_count'}}, {'multiple functions': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}, {'single function': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}, {'single function': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}]",0
What is the most common combination of functions of multi-functional buildings in 1740?,function,a single entity name,0,"[('most common', 'building_functions', 1), ('combination', 'building_functions', 1), ('of', None, None), ('functions', 'building_functions', 1), ('multi-functional', 'building_functions_count', 1)]","[False, False, True, False, True]",[],"[{'most common': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}, {'combination': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}, {'functions': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}]",0
What is the most common combination of functions of multi-functional buildings in 1808?,function,a single entity name,0,"[('functions', 'building_functions', 2), ('functions', 'building_functions', 2)]","[False, False]",[],"[{'functions': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}, {'functions': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}]",0
Is there a correlation between building functions and their proximity to the churches in 1740?,function,"yes or ""no""",1,"[('building functions', 'building_functions', 1), ('churches', 'landmark_name', 3)]","[False, True]","[{'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'campo drio la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}]","[{'building functions': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}]",1
Is there a correlation between building functions and their proximity to the churches in 1808?,function,"yes or ""no""",1,"[('building functions', 'building_functions', 2), ('churches', 'landmark_name', 3)]","[False, True]","[{'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'campo drio la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}]","[{'building functions': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}]",1
Which church is surrounded by the most diverse set of building functions in 1740?,function,a single entity name,1,"[('Which church', 'landmark_name', 3), ('the most diverse set of building functions', 'building_functions', 1)]","[True, True]","[{'which church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'campo drio la chiesa', 'chiesa degli ognissanti', 'chiesa di san maurizio', 'chiesa delle eremite']}}]",[],1
Which church is surrounded by the most diverse set of building functions in 1808?,function,a single entity name,1,"[('church', 'landmark_name', 3), ('building_functions', 'building_functions', 2)]","[True, True]","[{'church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}]",[],1
Is there a correlation between the number of building functions and the rent price in 1740?,function,"yes or ""no""",0,"[('number of building functions', 'building_functions_count', 1), ('rent price', 'rent_price', 1)]","[False, False]",[],"[{'number of building functions': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}, {'rent price': {'dataset': 'data/buildings_1740.csv', 'column': 'rent_price'}}]",0
Is there a correlation between the number of building functions and the size of the building in 1808?,function,"yes or ""no""",0,"[('number of building functions', 'building_functions_count', 2), ('size of the building', 'building_area', 2)]","[False, False]",[],"[{'number of building functions': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions_count'}}, {'size of the building': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area'}}]",0
Which square has the larges number of commercial buildings within 100 meters in the dataset in 1740?,function,a single entity name,2,"[('square', 'Landmark_Type', 3), ('largest number of', 'building_functions_count', 1), ('commercial buildings', 'building_functions', 1)]","[True, False, True]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}, {'commercial buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['calle, magazzeno']}}]","[{'largest number of': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}]",2
Which square has the larges number of commercial buildings within 100 meters in the dataset in 1808?,function,a single entity name,2,"[('square', 'Landmark_Type', 3), ('commercial buildings', 'building_functions', 2)]","[True, True]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}, {'commercial buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico', 'fabbrica, locale']}}]",[],2
Which family owns the most number of buildings in 1740?,personal,a single entity name,0,"[('family', 'owner_family_name', 1), ('family', 'owner_family_name', 2)]","[True, True]","[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['dada']}}, {'family': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['casalari']}}]",[],2
Which family owns the most number of buildings in 1808?,personal,a single entity name,0,"[('family', 'owner_family_name', 1), ('family', 'owner_family_name', 2), ('number of buildings', 'building_functions_count', 2)]","[True, True, True]","[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['dada']}}, {'family': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['casalari']}}]",[],2
Is there any correlation between the family name and the profession in 1740?,personal,"yes or ""no""",0,"[('family name', 'owner_family_name', 1), ('profession', 'owner_profession', 1)]","[False, False]",[],"[{'family name': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'profession': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession'}}]",0
Which family owns the most number of buildings per parish in 1740?,personal,"yes or ""no""",0,"[('family', 'owner_family_name', 1), ('owns', 'owner_first_name', 1), ('number', 'building_functions_count', 1), ('buildings', 'building_functions', 1), ('parish', 'parish', 1)]","[False, True, True, True, True]","[{'owns': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name', 'matches': ['domenego']}}, {'number': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count', 'matches': ['1', '4']}}, {'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa, portico', 'calle']}}, {'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}]","[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}]",4
Which family owns the most number of buildings per district in 1740?,personal,"yes or ""no""",0,"[('Which family', 'owner_family_name', 1), ('owns the most number of buildings', 'building_functions_count', 1), ('per district', 'location', 1)]","[False, True, False]",[],"[{'which family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'per district': {'dataset': 'data/buildings_1740.csv', 'column': 'location'}}]",0
How many lawyers are there in Venice in 1740?,personal,a single number,1,"[('lawyers', 'owner_profession', 1)]",[True],"[{'lawyers': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['avocato', 'avvocato']}}]",[],1
