id,question,category,answer_format,n_matches,entity_match,column_mappings,in_columns,phrase_matches,references,n_matches_predict
11,In how many parishes there are less than 10 shops in 1740?,spatial,a single number,1,1,"[('parishes', 'parish', 1), ('less than 10 shops', 'building_functions_count', 1)]","[False, True]",[],"[{'parishes': {'dataset': 'data/buildings_1740.csv', 'column': 'parish'}}]",0
12,In how many districts there are more than 10 houses in 1808?,spatial,a single number,1,1,"[('How many', 'building_functions_count', 1), ('districts', 'district', 2), ('houses', 'building_area', 2)]","[False, False, False]",[],"[{'how many': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}, {'districts': {'dataset': 'data/buildings_1808.csv', 'column': 'district'}}, {'houses': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area'}}]",0
13,In how many districts there are more than 1 school in 1808?,spatial,a single number,1,1,"[('district', 'district', 2), ('building_functions', 'building_functions', 2)]","[False, False]",[],"[{'district': {'dataset': 'data/buildings_1808.csv', 'column': 'district'}}, {'building_functions': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}]",0
14,In how many districts there are less than 10 shops in 1808?,spatial,a single number,1,1,"[('In how many', 'district', 2), ('there are less than 10 shops', 'building_functions_count', 1), ('in 1808', None, 2)]","[False, True, True]",[],"[{'in how many': {'dataset': 'data/buildings_1808.csv', 'column': 'district'}}]",0
15,Are low-rent buildings with less than average rent price clustered in specific areas in 1740?,spatial,yes or no,0,0,"[('low-rent', 'rent_price', 1), ('average rent price', 'rent_price', 1), ('clustered in specific areas', 'parish', 1), ('clustered in specific areas', 'longitude', 1), ('clustered in specific areas', 'latitude', 1)]","[False, False, False, False, False]",[],"[{'low-rent': {'dataset': 'data/buildings_1740.csv', 'column': 'rent_price'}}, {'average rent price': {'dataset': 'data/buildings_1740.csv', 'column': 'rent_price'}}, {'clustered in specific areas': {'dataset': 'data/buildings_1740.csv', 'column': 'parish'}}, {'clustered in specific areas': {'dataset': 'data/buildings_1740.csv', 'column': 'longitude'}}, {'clustered in specific areas': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}]",0
16,Are small buildings with smaller than average building size clustered in specific areas in 1808?,spatial,yes or no,0,0,"[('small', None, None), ('buildings', 'building_functions', 2), ('building size', 'building_area', 2), ('specific areas', 'district', 2)]","[False, False, False, True]",[],"[{'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}, {'building size': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area'}}]",0
17,How many people live within 100 meters from the closest church in 1740?,spatial,a single number,1,0,"[('people', 'tenant_name', 1), ('church', 'landmark_name', 3), ('100 meters', None, None)]","[False, True, True]","[{'church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}]","[{'people': {'dataset': 'data/buildings_1740.csv', 'column': 'tenant_name'}}]",1
18,How many people live within 100 meters from the closest church in 1808?,spatial,a single number,1,0,"[('people', 'owner_first_name', 2), ('longitude', 'longitude', 1), ('latitude', 'latitude', 1), ('landmark_type', 'Landmark_Type', 3)]","[False, False, True, True]",[],"[{'people': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_first_name'}}, {'longitude': {'dataset': 'data/buildings_1740.csv', 'column': 'longitude'}}]",0
19,"On average, how much more expensive are houses near the squares within 100 meters compared to those further away in 1740?",spatial,a single number,2,1,"[('squares', 'Landmark_Type', 3), ('houses', 'building_functions', 1), ('parish', 'parish', 1)]","[True, False, True]","[{'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}, {'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}]","[{'houses': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}]",2
20,"On average, how much more expensive are workshops near the squares within 100 meters compared to those further away in 1740?",spatial,a single number,2,1,"[('workshops', 'building_functions', 1), ('squares', 'Landmark_Type', 3), ('longitude', None, 1), ('latitude', None, 1)]","[True, True, False, False]","[{'workshops': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['magazzeno, orto']}}, {'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",[],2
21,"On average, how much more expensive are schools near the squares within 100 meters compared to those further away in 1740?",spatial,a single number,2,1,"[('schools', 'building_functions', 1), ('squares', 'landmark_name', 3)]","[True, True]","[{'schools': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['scuola']}}]",[],1
22,"On average, how much bigger are houses near the squares within 100 meters compared to those further away in 1808?",spatial,a single number,2,1,"[('houses', 'building_functions', 2), ('squares', 'landmark_name', 3), ('100 meters', None, None)]","[False, True, True]",[],"[{'houses': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}]",0
23,"On average, how much bigger are workshops near the squares within 100 meters compared to those further away in 1808?",spatial,a single number,2,1,"[('workshops', 'building_functions', 2), ('squares', 'landmark_name', 3)]","[True, True]","[{'workshops': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['cantiere', 'magazzeno, raffinaria']}}]",[],1
24,"On average, how much bigger are schools near the squares within 100 meters compared to those further away in 1808?",spatial,a single number,2,1,"[('schools', 'landmark_type', 3), ('building_area', 'building_area', 2)]","[True, True]",[],[],0
25,"On average, how much more expensive are houses near the churches within 100 meters compared to those further away in 1740?",spatial,a single number,2,1,"[('houses', 'building_functions', 1), ('churches', 'landmark_name', 3), ('landmark_type', 'Landmark_Type', 3)]","[False, True, True]","[{'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'campo drio la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}]","[{'houses': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}]",1
26,"On average, how much more expensive are workshops near the churches within 100 meters compared to those further away in 1740?",spatial,a single number,2,1,"[('workshops', 'building_functions', 1), ('near the churches', 'landmark_name', 3), ('near the churches', 'landmark_type', 3)]","[True, True, True]","[{'workshops': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['magazzeno, orto']}}, {'near the churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'campo drio la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}, {'near the churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}]",[],3
27,"On average, how much more expensive are schools near the churches within 100 meters compared to those further away in 1740?",spatial,a single number,2,1,"[('schools', 'building_functions', 1), ('churches', 'landmark_name', 3)]","[True, True]","[{'schools': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['scuola']}}, {'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'campo drio la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}]",[],2
28,"On average, how much bigger are houses near the churches within 100 meters compared to those further away in 1808?",spatial,a single number,2,1,"[('houses', 'building_functions', 2), ('near the churches', 'landmark_name', 3), ('compared to those further away', 'building_functions_count', 2)]","[False, True, False]","[{'near the churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'campo drio la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}]","[{'houses': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}, {'compared to those further away': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions_count'}}]",1
29,"On average, how much bigger are workshops near the churches within 100 meters compared to those further away in 1808?",spatial,a single number,2,1,"[('workshops', 'building_functions', 2), ('churches', 'landmark_name', 3)]","[True, True]","[{'workshops': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['cantiere', 'magazzeno, raffinaria']}}, {'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'campo drio la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}]",[],2
30,"On average, how much bigger are schools near the churches within 100 meters compared to those further away in 1808?",spatial,a single number,2,1,"[('schools', 'building_functions', 2), ('churches', 'landmark_name', 3)]","[True, True]","[{'schools': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['magazzeno, scuola']}}, {'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'campo drio la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}]",[],2
31,How many buildings are located around the square of San Marco within 100 meters in 1740?,spatial,a single number,1,1,"[('San Marco', 'landmark_name', 3), ('square', 'Landmark_Type', 3), ('buildings', 'building_functions_count', 1), ('100 meters', None, None)]","[True, True, True, True]","[{'san marco': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}, {'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",[],2
32,How many buildings are located around the church of Saint Paul within 100 meters in 1740?,spatial,a single number,1,1,"[('church of Saint Paul', 'landmark_name', 3), ('longitude', 'longitude', 1), ('latitude', 'latitude', 1)]","[True, True, True]","[{'church of saint paul': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['chiesa di saint george']}}]",[],1
33,How many houses are located around the church of Saint Paul within 100 meters in 1740?,spatial,a single number,2,1,"[('Saint Paul', 'landmark_name', 3), ('buildings', 'building_functions_count', 1), ('longitude', 'longitude', 1), ('latitude', 'latitude', 1)]","[True, True, True, True]","[{'saint paul': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': [""sant' aponal""]}}]",[],1
34,How many buildings are located around the square of San Marco within 100 meters in 1808?,spatial,a single number,1,1,"[('San Marco', 'landmark_name', 3), ('square', 'Landmark_Type', 3), ('buildings', 'building_functions_count', 2), ('within 100 meters', None, None)]","[True, True, True, True]","[{'san marco': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}, {'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",[],2
35,How many buildings are located around the church of Saint Paul within 100 meters in 1808?,spatial,a single number,1,1,"[('church', 'landmark_type', 3), ('Saint Paul', 'landmark_name', 3), ('buildings', 'building_functions_count', 2), ('within 100 meters', None, None)]","[True, True, True, True]","[{'church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}, {'saint paul': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': [""sant' aponal""]}}]",[],2
36,How many houses are located around the square of San Marco within 100 meters in 1808?,spatial,a single number,2,1,"[('houses', 'building_functions', 2), ('San Marco', 'landmark_name', 3), ('square', 'Landmark_Type', 3), ('within 100 meters', None, None)]","[False, True, True, False]","[{'san marco': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}, {'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]","[{'houses': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}]",2
37,Are the buildings located within 100 meters from San Marco more expensive than the buildings located within 100 meters from other squares in 1740?,spatial,yes or no,2,1,"[('San Marco', 'landmark_name', 3), ('squares', 'Landmark_Type', 3), ('buildings', 'building_functions_count', 1), ('rent price', 'rent_price', 1)]","[True, True, True, True]","[{'san marco': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}, {'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",[],2
38,Are the buildings located within 100 meters from San Marco bigger than the buildings located within 100 meters from other squares in 1808?,spatial,yes or no,2,1,"[('San Marco', 'landmark_name', 3), ('buildings', 'building_functions', 2), ('buildings', 'building_area', 2)]","[True, True, False]","[{'san marco': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico']}}]","[{'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area'}}]",2
39,On average how far do people live from the squares in 1740?,spatial,a single number,1,0,"[('On average how far', 'longitude', 1), ('do people live from', 'latitude', 1), ('the squares', 'Landmark_Type', 3)]","[False, False, True]","[{'the squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]","[{'on average how far': {'dataset': 'data/buildings_1740.csv', 'column': 'longitude'}}, {'do people live from': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}]",1
40,On average how far do people live from the squares in 1808?,spatial,a single number,1,0,[],[],[],[],0
41,Which neighborhood has the highest density of different families in 1740?,spatial,a single entity name,0,0,"[('neighborhood', 'parish', 1), ('density', None, None), ('different families', 'owner_family_name', 1)]","[False, False, False]",[],"[{'neighborhood': {'dataset': 'data/buildings_1740.csv', 'column': 'parish'}}, {'different families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}]",0
42,Which neighborhood has the highest density of different families in 1808?,spatial,a single entity name,0,0,"[('neighborhood', 'district', 2), ('density', None, None), ('different families', 'owner_family_name', 1), ('different families', 'owner_family_name', 2)]","[False, False, False, False]",[],"[{'neighborhood': {'dataset': 'data/buildings_1808.csv', 'column': 'district'}}, {'different families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'different families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",0
43,How many churches does each parish have on average in 1740?,spatial,a single number,1,0,"[('many', 'building_functions_count', 1), ('churches', 'landmark_name', 3), ('parish', 'parish', 1)]","[True, True, True]","[{'many': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count', 'matches': ['1']}}, {'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'campo drio la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}, {'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}]",[],3
44,How many churches does each district have on average in 1808?,spatial,a single number,1,0,"[('churches', 'landmark_type', 3), ('each district', 'district', 2)]","[True, False]","[{'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}]","[{'each district': {'dataset': 'data/buildings_1808.csv', 'column': 'district'}}]",1
45,Is there a significant difference in the rent prices for buildings within 100 meters from the closest churches versus from squares in 1740?,spatial,yes or no,2,0,"[('rent prices', 'rent_price', 1), ('closest churches', 'landmark_name', 3), ('squares', 'Landmark_Type', 3)]","[False, True, True]","[{'closest churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'campo drio la chiesa', 'chiesa degli ognissanti', 'chiesa di san maurizio', 'chiesa delle eremite']}}, {'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]","[{'rent prices': {'dataset': 'data/buildings_1740.csv', 'column': 'rent_price'}}]",2
46,Is there a significant difference in the area of buildings within 100 meters from the closest churches versus from squares in 1808?,spatial,yes or no,2,0,"[('closest churches', 'landmark_name', 3), ('squares', 'Landmark_Type', 3), ('within 100 meters', 'longitude', 1), ('within 100 meters', 'latitude', 1), ('area of buildings', 'building_area', 2)]","[True, True, True, True, False]","[{'closest churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'campo drio la chiesa', 'chiesa degli ognissanti', 'chiesa di san maurizio', 'chiesa delle eremite']}}, {'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]","[{'area of buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area'}}]",2
47,Which neighborhood contains the buildings with the highest rent price on average in 1740?,spatial,a single entity name,0,0,"[('neighborhood', 'parish', 1), ('buildings', None, 1), ('highest rent price', 'rent_price', 1)]","[False, False, True]",[],"[{'neighborhood': {'dataset': 'data/buildings_1740.csv', 'column': 'parish'}}]",0
48,Which neighborhood contains the buildings with the largest area on average in 1808?,spatial,a single entity name,0,0,"[('neighborhood', 'district', 2), ('buildings', 'building_functions_count', 2), ('largest area', 'building_area', 2)]","[False, False, True]",[],"[{'neighborhood': {'dataset': 'data/buildings_1808.csv', 'column': 'district'}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions_count'}}]",0
49,What is the name of the square that is the most densely populated with people within 100 meters in 1740?,spatial,a single entity name,1,0,"[('name of the square', 'landmark_name', 3)]",[True],"[{'name of the square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}]",[],1
50,What is the name of the square that is the most densely populated with people within 100 meters in 1808?,spatial,a single entity name,1,0,"[('name of the square', 'landmark_name', 3), ('most densely populated', 'building_area', 2), ('within 100 meters', 'longitude', 1), ('within 100 meters', 'latitude', 1)]","[True, False, True, False]","[{'name of the square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}]","[{'most densely populated': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area'}}, {'within 100 meters': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}]",1
51,How many buildings are there per parish on average in 1740?,spatial,a single number,0,0,"[('buildings', 'building_functions_count', 1), ('parish', 'parish', 1)]","[False, True]","[{'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}]","[{'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}]",1
52,How many buildings are there per district on average in 1808?,spatial,a single number,0,0,"[('buildings', 'building_functions_count', 2), ('per district', 'district', 2)]","[False, False]",[],"[{'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions_count'}}, {'per district': {'dataset': 'data/buildings_1808.csv', 'column': 'district'}}]",0
53,What is the parish with the highest rent price in 1740?,spatial,a single entity name,0,0,"[('parish', 'parish', 1), ('rent price', 'rent_price', 1)]","[True, True]","[{'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}]",[],1
54,What is the district with the largest buildings in 1808?,spatial,a single entity name,0,0,"[('district', 'district', 2), ('buildings', 'building_functions_count', 2)]","[True, False]",[],"[{'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions_count'}}]",0
55,"Among all the parishes, what is the highest density of buildings with multiple functions in 1740?",spatial,a single number,0,0,"[('parish', 'parish', 1), ('building_functions_count', 'building_functions_count', 1), ('building_functions', 'building_functions', 1)]","[False, True, False]",[],"[{'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish'}}, {'building_functions': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}]",0
56,"Among all the districts, what is the highest density of buildings with multiple functions in 1808?",spatial,a single number,0,0,"[('districts', 'district', 2), ('highest density of buildings', 'building_functions_count', 2), ('multiple functions', 'building_functions_count', 2)]","[False, False, True]",[],"[{'districts': {'dataset': 'data/buildings_1808.csv', 'column': 'district'}}, {'highest density of buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions_count'}}]",0
57,What is the average rent price difference between the parishes with the highest and the lowest rent prices in 1740?,spatial,a single number,0,0,"[('average rent price', 'rent_price', 1), ('parishes', 'parish', 1), ('highest', None, None), ('lowest', None, None)]","[True, False, True, True]",[],"[{'parishes': {'dataset': 'data/buildings_1740.csv', 'column': 'parish'}}]",0
58,What is the average size difference between the districts with the largest and the smalles buildings in 1808?,spatial,a single number,0,0,"[('average size', 'building_area', 2), ('largest', 'building_area', 2), ('smallest', 'building_area', 2), ('buildings', 'building_functions', 2), ('districts', 'district', 2)]","[True, True, True, False, False]",[],"[{'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}, {'districts': {'dataset': 'data/buildings_1808.csv', 'column': 'district'}}]",0
59,Are there any parishes with more than 5 buildings owned by a single family in 1740?,spatial,yes or no,0,0,"[('parishes', 'parish', 1), ('more than 5', 'building_functions_count', 1), ('owned by a single family', 'owner_family_name', 1), ('owned by a single family', 'owner_family_name', 2)]","[False, True, False, True]",[],"[{'parishes': {'dataset': 'data/buildings_1740.csv', 'column': 'parish'}}, {'owned by a single family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}]",0
60,Are there any districts with more than 5 buildings owned by a single family in 1808?,spatial,yes or no,0,0,"[('district', 'district', 2), ('buildings', 'building_functions_count', 2), ('buildings', 'building_functions_count', 1), ('owned by a single family', 'owner_family_name', 2), ('owned by a single family', 'owner_family_name', 1)]","[True, False, True, False, False]",[],"[{'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions_count'}}, {'owned by a single family': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}, {'owned by a single family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}]",0
61,What is the most common function of buildings that are within 100 meters from the closest square in 1740?,function,a single entity name,1,0,"[('building_functions', 'building_functions', 1), ('square', 'landmark_name', 3)]","[True, True]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}]",[],1
62,What is the most common function of buildings that are within 100 meters from the closest square in 1808?,function,a single entity name,1,0,"[('closest square', 'landmark_name', 3), ('buildings', 'building_functions', 2)]","[True, True]","[{'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico']}}]",[],1
63,Which square is surrounded with the buildings with the most diverse functions within the radius of 100 meters in 1740?,function,a single entity name,1,0,"[('square', 'Landmark_Name', 3), ('buildings', 'building_functions', 1), ('radius', 'longitude', 1)]","[True, True, False]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}, {'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa, portico', 'calle']}}]","[{'radius': {'dataset': 'data/buildings_1740.csv', 'column': 'longitude'}}]",2
64,Which square is surrounded with the buildings with the most diverse functions within the radius of 100 meters in 1808?,function,a single entity name,1,0,"[('square', 'landmark_name', 3), ('buildings', 'building_functions', 2), ('radius', None, None)]","[True, True, True]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico']}}]",[],2
65,Are residential buildings more closely located to the squares than commercial buildings in 1740?,function,yes or no,3,1,"[('residential', 'building_functions', 1), ('squares', 'landmark_name', 3), ('commercial', 'building_functions', 1)]","[True, True, True]","[{'residential': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['appartamento', 'appartamento, casa']}}, {'commercial': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['magazzeno', 'calle', 'calle, magazzeno']}}]",[],2
66,Are residential buildings more closely located to the squares than commercial buildings in 1808?,function,yes or no,3,1,"[('residential buildings', 'building_functions', 2), ('squares', 'landmark_name', 3), ('commercial buildings', 'building_functions', 2)]","[True, True, True]","[{'residential buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['casa, corto, portico', 'appartamento, casa, volta', 'appartamento, casa', 'area, casa']}}, {'commercial buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico', 'fabbrica, locale']}}]",[],2
67,What is the average distance between workshops and their nearest square in 1740?,function,a single number,2,1,[],[],[],[],0
